Latitude;Longitude;Time;Date;Number of Sats;GPS Speed (Kn);GPS True Heading;GPS Magnetic Variation;HDOP;C Magnetic Heading;C True Heading;Pitch Angle;Roll Angle;C Inside Temp (c);DFS Depth (m);DTB Height (m);Total Water Column (m);Batt Percent;Power Watts;Watt-Hours;Batt Volts;Batt Ampers;Batt State;Time to Empty;Current Step;Dist To Next (m);Next Speed (kn);Vehicle Speed (kn);Motor Speed CMD;Next Heading;Next Long;Next Lat;Next Depth (m);Depth Goal (m);Vehicle State;Error State;Distance to Track (m);Fin Pitch R;Fin Pitch L;Pitch Goal;Fin Yaw T;Fin Yaw B;Yaw Goal;Fin Roll;DVL-Depth (m);DVL -Altitude (m);DVL -Water Column (m);DVL-FixType;DVL-FixQuality;DVL-Temperature;Conductivity (mmhos/cm);Temperature (c);Salinity (ppt);Sound Speed (m/s);Date m/d/y   ;Time hh:mm:ss;Temp C;SpCond mS/cm;Sal ppt;Depth feet;pH;pH mV;Turbid+ NTU;Chl ug/L;BGA-PC cells/mL;ODOsat %;ODO mg/L;Battery volts;ROSEM Command Type;
37.2386323333333;-107.909395;14:46:15.88;4/25/2018;10;0.095;271.43;9.30571804206125;1.1;179.1;185.46;3.45;-4.34;20.7;.01;.48;.49;94;21;514.4;16.2;-1.3;D;1602.3;0;12.781;2.5;0;128;179.65;-107.90939411;37.23851739;0;0;1;N;9.9371;78;78;11;103;103;179.4763;0;9999.99;.51;0.637;2;9;17.8;0;17.7999992370605;0.21;1475.62188;04/25/18;14:36:10;12.18;0.435;0.21;-7.515;8.42;-80.0;-0.2;-5.5;-2102;88.2;9.45;12.4;;
37.2386316666667;-107.909395333333;14:46:16.92;4/25/2018;10;0.072;271.43;9.30571804206125;1.1;178.1;184.43;3.45;-4.78;20.6;.00;.48;.48;94;21;514.4;16.2;-1.3;D;1602.3;0;12.708;2.5;0;128;179.51;-107.90939411;37.23851739;0;0;1;N;9.86077;78;78;11;110;110;179.4431;0;9999.99;.51;0.637;0;0;17.8;0;17.7999992370605;0.21;1475.62138;04/25/18;14:36:11;12.23;0.435;0.21;-7.509;8.42;-80.1;-1.2;-0.3;-3962;88.2;9.44;12.6;;
37.2386313776093;-107.909395642752;14:46:17.92;4/25/2018;10;0.094;271.43;9.30571804206125;1.1;175.3;181.57;5.76;-0.34;20.7;.02;.48;.50;94;25;514.4;16.2;-1.5;D;1346.4;0;12.676;2.5;0.3;184;179.39;-107.90939411;37.23851739;0;0;1;N;9.86077;88;88;11;113;113;179.4288;0;9999.99;.51;0.637;0;0;17.7;0;17.7000007629395;0.21;1475.29541;04/25/18;14:36:12;12.25;0.434;0.21;-7.516;8.42;-79.9;-0.4;-2.4;905;88.3;9.45;12.3;;
37.2386292755434;-107.909395717799;14:46:18.94;4/25/2018;10;0.663;271.43;9.30571804206125;1.1;177.1;183.41;4.04;3.06;20.7;.03;.47;.50;94;25;514.4;16.2;-1.5;D;1346.4;0;12.442;2.5;0.34;184;179.34;-107.90939411;37.23851739;0;0;1;N;9.86077;86;86;11;110;110;179.375;0;9999.99;.52;0.647;2;9;17.7;0;17.7000007629395;0.21;1475.29541;04/25/18;14:36:12;12.25;0.434;0.21;-7.516;8.42;-79.9;-0.4;-2.4;905;88.3;9.45;12.3;;
37.2386230582226;-107.909396199461;14:46:19.95;4/25/2018;10;1.381;211.44;9.30571804206125;1.1;175.9;182.18;1.8;2.65;20.7;.01;.52;.53;94;25;514.4;16.2;-1.5;D;1346.4;0;11.751;2.5;0.71;184;179.1;-107.90939411;37.23851739;0;0;1;N;9.86077;68;68;11;115;115;179.1232;0;9999.99;.54;0.667;2;9;17.7;0;17.7000007629395;0.21;1475.2986;04/25/18;14:36:13;12.27;0.433;0.21;-7.512;8.42;-80.2;-0.3;-6.5;-2979;88.3;9.45;12.5;;
37.2386156757321;-107.909396939464;14:46:20.95;4/25/2018;10;1.824;194.29;9.30571804206125;1.1;177.1;183.41;1.37;1.65;20.7;.00;.57;.57;94;25;514.4;16.2;-1.5;D;1346.4;0;10.932;2.5;1.11;184;178.69;-107.90939411;37.23851739;0;0;1;N;9.86077;65;65;11;106;106;178.7153;0;9999.99;.58;0.707;2;9;17.7;0;17.7000007629395;0.22;1475.30674;04/25/18;14:36:15;12.15;0.447;0.22;-7.422;8.40;-78.9;0.0;-4.2;-2343;87.9;9.43;12.4;;
37.2386048713556;-107.90939760689;14:46:21.95;4/25/2018;10;2.005;189.71;9.30571804206125;1.1;175.5;181.77;2.95;4.63;20.7;.00;.64;.64;94;53;514.4;16.1;-3.3;D;645.8;0;9.732;2.5;1.42;184;178.18;-107.90939411;37.23851739;0;0;1;N;9.86077;73;73;11;113;113;178.2116;0;9999.99;.66;0.787;2;9;17.6;0;17.6000003814697;0.22;1474.97894;04/25/18;14:36:16;11.66;0.445;0.22;-7.416;8.40;-78.7;-0.5;3.3;-455;87.9;9.53;12.4;;
37.2385947689596;-107.90939873974;14:46:22.95;4/25/2018;10;2.168;188.04;9.30571804206125;1.1;175.9;182.18;2.68;3.97;20.7;.00;.73;.73;94;53;514.4;16.1;-3.3;D;645.8;0;8.614;2.5;1.64;184;177.27;-107.90939411;37.23851739;0;0;1;N;9.86077;73;73;11;108;108;177.332;0;9999.99;.75;0.877;2;9;17.6;0;17.6000003814697;0.22;1474.97894;04/25/18;14:36:16;11.66;0.445;0.22;-7.416;8.40;-78.7;-0.5;3.3;-455;87.9;9.53;12.4;;
37.2385843041377;-107.909399138904;14:46:23.95;4/25/2018;10;2.186;187.15;9.30571804206125;1.1;175;181.26;3.48;5.14;20.7;.01;.80;.81;94;53;514.4;16.1;-3.3;D;645.8;0;7.454;2.5;1.91;184;176.58;-107.90939411;37.23851739;0;0;1;N;9.86077;78;78;11;109;109;176.6588;0;9999.99;.83;0.957;2;9;17.5;0;17.6000003814697;0.22;1474.97924;04/25/18;14:36:17;11.27;0.452;0.22;-7.471;8.39;-78.3;-1.3;0.7;-3021;88.0;9.63;12.4;;
37.2385733008225;-107.909399614799;14:46:24.97;4/25/2018;10;2.194;185.09;9.30571804206125;1.1;173.9;180.14;3.39;6.04;20.7;.01;.89;.90;94;51;514.3;16.1;-3.1;D;671.6;0;6.236;2.5;2.03;184;175.52;-107.90939411;37.23851739;0;0;1;N;9.86077;77;77;11;109;109;175.608;0;9999.99;.92;1.047;2;9;17.4;0;17.3999996185303;0.22;1474.32274;04/25/18;14:36:19;11.12;0.452;0.22;-7.475;8.38;-77.5;-0.5;-2.4;-1572;87.6;9.62;12.4;;
37.2385629164008;-107.909400484582;14:46:25.98;4/25/2018;10;2.239;182.78;9.30571804206125;1.1;172.9;179.12;3.13;4.87;20.7;.01;.98;.98;94;51;514.3;16.1;-3.1;D;671.6;0;5.094;2.5;2.12;184;173.64;-107.90939411;37.23851739;0;0;1;N;9.86077;76;76;11;106;106;173.7719;0;9999.99;1.01;1.137;2;9;17.3;0;17.3999996185303;0.22;1474.32274;04/25/18;14:36:19;11.12;0.452;0.22;-7.475;8.38;-77.5;-0.5;-2.4;-1572;87.6;9.62;12.4;;
37.2385518616;-107.909399585825;14:46:26.98;4/25/2018;10;2.3;183.13;9.30571804206125;1.1;169.8;175.97;3.06;5.35;20.7;.00;1.07;1.07;94;51;514.3;16.1;-3.1;D;671.6;0;3.863;2.5;2.17;184;172.79;-107.90939411;37.23851739;0;0;1;N;9.86077;75;75;11;115;115;172.8519;0;9999.99;1.10;1.227;2;9;17.2;0;17.2999992370605;0.22;1473.99274;04/25/18;14:36:20;11.03;0.452;0.22;-7.438;8.38;-77.8;-0.5;-1.3;-1202;87.5;9.63;12.3;;
37.2385409801145;-107.909400161524;14:46:28.02;4/25/2018;10;2.262;182.58;9.30571804206125;1.1;170.1;176.28;3.15;5.4;20.8;.00;1.17;1.17;94;51;514.3;16.1;-3.1;D;671.6;0;2.677;2.5;2.2;184;168.46;-107.90939411;37.23851739;0;0;1;N;2.710333E-02;76;76;11;98;98;169.1227;0;9999.99;1.20;1.327;2;9;17.1;0;17.1000003814697;0.22;1473.33033;04/25/18;14:36:22;10.86;0.453;0.22;-7.463;8.37;-77.1;-0.6;-2.4;-3762;87.3;9.64;12.5;;
37.2385314395858;-107.909399591717;14:46:29.02;4/25/2018;10;2.263;180.43;9.30571804206125;1.1;167.6;173.75;3.66;5.87;20.7;.00;1.27;1.28;94;51;514.3;16.1;-3.1;D;671.8;0;1.636;2.5;2.21;184;162.74;-107.90939411;37.23851739;0;0;1;N;0.1811479;79;79;11;104;104;168.0194;0;9999.99;1.30;1.427;2;9;17;0;17.1000003814697;0.22;1473.33034;04/25/18;14:36:23;10.79;0.453;0.22;-7.452;8.37;-76.8;-0.5;-5.2;-3051;87.2;9.64;12.6;;
37.238521038883;-107.909398385309;14:46:30.02;4/25/2018;10;2.219;177.99;9.30571804206125;1.1;165.6;171.73;3.17;4.96;20.8;.00;1.35;1.35;94;51;514.3;16.1;-3.1;D;671.8;1;41.217;2.5;2.23;185;243.82;-107.90981623;37.23835752;0;0;1;N;0.650641;76;76;11;250;250;239.9105;0;9999.99;1.38;1.507;2;9;16.9;0;17;0.22;1472.99795;04/25/18;14:36:24;10.77;0.454;0.22;-7.477;8.39;-77.8;-1.1;-5.7;-4136;87.1;9.64;12.3;;
37.2385106462356;-107.909397675543;14:46:31.02;4/25/2018;11;2.185;176.72;9.30571804206125;0.81;176.5;182.79;2.18;11.4;20.8;.00;1.39;1.40;94;51;514.3;16.1;-3.1;D;671.8;1;40.778;2.5;2.23;185;245.32;-107.90981623;37.23835752;0;0;1;N;0.428915;71;71;11;250;250;247.6283;0;9999.99;1.42;1.547;2;9;16.8;0;17;0.22;1472.99795;04/25/18;14:36:24;10.77;0.454;0.22;-7.477;8.39;-77.8;-1.1;-5.7;-4136;87.1;9.64;12.3;;
37.2385004244923;-107.90939672721;14:46:32.03;4/25/2018;11;1.98;174.83;9.30571804206125;0.81;186;192.58;4.15;5.02;20.8;.00;1.41;1.41;94;54;514.3;16.1;-3.3;D;631.3;1;40.394;2.5;2.21;185;246.83;-107.90981623;37.23835752;0;0;1;N;1.487805;84;84;11;250;250;255.0943;0;9999.99;1.44;1.567;2;9;16.7;0;16.7999992370605;0.22;1472.33033;04/25/18;14:36:25;10.81;0.455;0.22;-7.473;8.37;-76.7;-0.9;-6.9;-4509;87.0;9.63;12.6;;
37.2384901353023;-107.909399830342;14:46:33.06;4/25/2018;12;2.191;180.89;9.30571804206125;0.81;199.7;206.87;5.44;5.77;20.8;.01;1.41;1.42;94;54;514.3;16.1;-3.3;D;631.3;1;39.702;2.5;2.08;185;248.2;-107.90981623;37.23835752;0;0;1;N;2.436614;90;90;11;250;250;261.4988;0;9999.99;1.45;1.577;2;9;16.7;0;16.7000007629395;0.22;1471.99587;04/25/18;14:36:26;10.90;0.455;0.22;-7.459;8.36;-76.6;-1.1;-6.0;-36;87.0;9.61;12.4;;
